


Gadgets
=======


0x000a1713: aad 0x81; ret 0x465; 
0x0012e0c3: add al, 0x79; ret; 
0x001307a3: add al, 0x7a; ret; 
0x00037eb0: add al, 0x82; ret; 
0x0003cfef: add al, 0x83; ret 0x2901; 
0x000aa886: add al, 0x83; ret 0x3904; 
0x001092f7: add al, 0x83; ret 0x8301; 
0x000f8e5a: add al, 0x83; ret 0x8304; 
0x00108b05: add al, 0x83; ret 0x8901; 
0x001017b2: add al, 0x83; ret 0x8902; 
0x000f83ca: add al, 0x83; ret 0x8b04; 
0x00034a0e: add al, 0x83; ret 0x8d01; 
0x000ff775: add al, 0x83; ret 0xf08; 
0x000fb652: add al, 0x83; ret; 
0x000f5ae9: add al, 0x89; ret 0x4489; 
0x0005d211: add al, 0x89; ret 0xc031; 
0x00086390: add al, 0x89; ret 0xc085; 
0x000fb3c8: add al, 0x89; ret 0xc789; 
0x0004e9c2: add al, 0x89; ret 0xdfeb; 
0x0004e609: add al, 0x89; ret 0xe083; 
0x00079867: add al, 0x89; ret 0xe283; 
0x0004e217: add al, 0x89; ret 0xeac1; 
0x0002d6db: add al, 0x89; ret 0xead1; 
0x0013b946: add al, 0xa; ret; 
0x000b4853: add al, 0xc9; ret; 
0x0003732f: add al, 0xe8; ret; 
0x000f8856: add al, 0xf6; ret 0x7503; 
0x000f8996: add al, 0xf7; ret 0; 
0x0009f694: add al, 1; ret 0x728d; 
0x00071879: add al, 9; ret 0xd089; 
0x0012b4e3: add al, al; ret 0xfff1; 
0x001398ff: add al, al; ret 0xfff5; 
0x0011faf7: add al, al; ret; 
0x0013162f: add al, bh; ret; 
0x0013ef7f: add al, bl; ret 0xfff7; 
0x0001258a: add al, byte ptr [eax]; ret 0; 
0x0012353e: add al, byte ptr [eax]; ret 0xfa0e; 
0x001497ea: add al, byte ptr [eax]; ret 0xfab4; 
0x00124066: add al, byte ptr [eax]; ret 0xfc17; 
0x001248ee: add al, byte ptr [eax]; ret 0xfd28; 
0x00123bee: add al, byte ptr [eax]; ret; 
0x0012ca73: add al, byte ptr [ebp + 0x41100e0a]; ret; 
0x00045fd6: add al, byte ptr [ebp + 0x5b0274c0]; ret; 
0x000bd952: add al, byte ptr [ebp - 0x7cec8b40]; ret 0x8908; 
0x00130bb3: add al, byte ptr [ebx + 0x41100e0a]; ret; 
0x0012aa71: add al, byte ptr [ecx + 0x41080e0a]; ret; 
0x0014ca7b: add al, byte ptr [ecx + 0x41100e0a]; ret; 
0x00127e58: add al, byte ptr [ecx + 0xa]; ret; 
0x000fd3e9: add al, byte ptr [ecx]; ret 0x8966; 
0x0013e4fb: add al, byte ptr [edi + 0x41100e0a]; ret; 
0x00127474: add al, byte ptr [esi + 0x41100e0a]; ret; 
0x00125be0: add al, byte ptr [esi + 0xa]; ret; 
0x000e2078: add al, ch; ret 0xf458; 
0x000780e8: add al, ch; ret 0xfabd; 
0x000699a8: add al, ch; ret 0xfb97; 
0x00032107: add al, ch; ret; 
0x0012288f: add al, dh; ret 0xfff7; 
0x0000bba7: add al, dl; ret 2; 
0x00006cc7: add al, dl; ret 9; 
0x00141607: add al, dl; ret; 
0x0013e0a3: add bh, byte ptr [eax + 0x41100e0a]; ret; 
0x00141b75: add bh, byte ptr [eax + 0xa]; ret; 
0x0014cdf9: add bh, byte ptr [ebp + 0x41100e0a]; ret; 
0x0012b1cd: add bh, byte ptr [ebx + 0xa]; ret; 
0x000478c9: add bh, byte ptr [ecx]; ret 0x820f; 
0x000ff77d: add bh, byte ptr [ecx]; ret 0x870f; 
0x00128fb7: add bh, byte ptr [edx + 0x41100e0a]; ret; 
0x00147ae5: add bh, byte ptr [esi + 0x41080e0a]; ret; 
0x00125dc7: add bh, byte ptr [esi + 0xa]; ret; 
0x000f89a6: add bh, dh; ret 0; 
0x00099216: add bh, dh; ret 0xffff; 
0x0011fab7: add bh, dl; ret 0xfff0; 
0x0012864d: add bl, byte ptr [eax + 0xa]; ret; 
0x0013bd66: add bl, byte ptr [ebp + 0xa]; ret; 
0x0013bec6: add bl, byte ptr [ebx + 0xa]; ret; 
0x00143bd0: add bl, byte ptr [ecx + 0xa]; ret; 
0x0012e757: add bl, byte ptr [edi + 0x41100e0a]; ret; 
0x0012fed2: add bl, byte ptr [edx + 0xa]; ret; 
0x001253d7: add bl, byte ptr [esi + 0x41100e0a]; ret; 
0x0014cf09: add bl, byte ptr [esi + 0xa]; ret; 
0x0006f7a2: add bl, ch; ret 0x44c7; 
0x000c6cf1: add bl, ch; ret 0x6c7; 
0x0003cf8c: add bl, ch; ret; 
0x0012083f: add byte ptr [0x7cfff2b4], dh; ret; 
0x000315ab: add byte ptr [0x7fffffff], ah; ret; 
0x00020357: add byte ptr [eax + 0x600150d], al; ret 1; 
0x000062e3: add byte ptr [eax + 0x78000013], al; ret 2; 
0x00044089: add byte ptr [eax + eax], ah; ret; 
0x000c54b3: add byte ptr [eax + eax], al; ret; 
0x00061e7a: add byte ptr [eax + edi - 0x7d], dh; ret 0xeb01; 
0x000671a3: add byte ptr [eax - 0x17dbfb77], al; ret; 
0x00120847: add byte ptr [eax - 0x43000d4b], cl; ret; 
0x00008fa3: add byte ptr [eax - 0x4fffffed], bl; ret; 
0x000d4ee3: add byte ptr [eax - 0x6bf0d106], al; ret 0xb60f; 
0x00124f77: add byte ptr [eax - 0x6f0001d1], ch; ret; 
0x000575b0: add byte ptr [eax - 0x7bf0a106], al; ret; 
0x000b424d: add byte ptr [eax - 0x7cfa8bff], ch; ret 0xdc01; 
0x00122f77: add byte ptr [eax], ah; ret 0xfff8; 
0x0012465f: add byte ptr [eax], ah; ret; 
0x00002f06: add byte ptr [eax], al; ret 0; 
0x00113735: add byte ptr [eax], al; ret 0x6741; 
0x00006a46: add byte ptr [eax], al; ret 0x9d0; 
0x000050be: add byte ptr [eax], al; ret 0xa; 
0x0000d706: add byte ptr [eax], al; ret 0xa96; 
0x00005392: add byte ptr [eax], al; ret 0xb; 
0x000010c2: add byte ptr [eax], al; ret 0xc; 
0x00009116: add byte ptr [eax], al; ret 0xcf6; 
0x00001f4a: add byte ptr [eax], al; ret 0xd; 
0x00010936: add byte ptr [eax], al; ret 0xda1; 
0x00005cb6: add byte ptr [eax], al; ret 0xea5; 
0x0012e3ae: add byte ptr [eax], al; ret 0xf2a8; 
0x0012fb9e: add byte ptr [eax], al; ret 0xf2fe; 
0x001329ee: add byte ptr [eax], al; ret 0xf3ae; 
0x00002de2: add byte ptr [eax], al; ret 1; 
0x00003ab6: add byte ptr [eax], al; ret 2; 
0x00004ab2: add byte ptr [eax], al; ret 3; 
0x00005412: add byte ptr [eax], al; ret 4; 
0x00005786: add byte ptr [eax], al; ret 5; 
0x00004876: add byte ptr [eax], al; ret 6; 
0x0000433e: add byte ptr [eax], al; ret 7; 
0x00005342: add byte ptr [eax], al; ret 8; 
0x00004aca: add byte ptr [eax], al; ret 9; 
0x0000069a: add byte ptr [eax], al; ret; 
0x00010127: add byte ptr [eax], cl; ret; 
0x0012287f: add byte ptr [eax], dl; ret 0xfff7; 
0x00104e52: add byte ptr [ebp + 0x3938247c], cl; ret 0x6677; 
0x000ea136: add byte ptr [ebp + ebx - 0x7d], dh; ret 0x8001; 
0x000a027e: add byte ptr [ebp + edi*2 - 0x7d], dh; ret 0xeb01; 
0x000565f8: add byte ptr [ebp - 0x76368b40], al; ret 0xf089; 
0x0006403d: add byte ptr [ebp - 0x7ee18b2e], al; ret 0x3724; 
0x000a256d: add byte ptr [ebp - 0x7ee18b2e], al; ret 0x5664; 
0x000a87f8: add byte ptr [ebx + 0x1482454], cl; ret 0xfa21; 
0x000ca015: add byte ptr [ebx + 0x148d0fe0], al; ret 0x28b; 
0x000fcf52: add byte ptr [ebx + 0x29102454], cl; ret 0x5489; 
0x000e4052: add byte ptr [ebx + 0x292c2444], cl; ret 0x9439; 
0x000ed853: add byte ptr [ebx + 0x348b01c0], al; ret 0xf685; 
0x0003c415: add byte ptr [ebx + 0x39182454], cl; ret 0x860f; 
0x0009099d: add byte ptr [ebx + 0x48d0440], cl; ret 0x8389; 
0x00120837: add byte ptr [ebx + 0x4cfff2b3], bh; ret; 
0x00057532: add byte ptr [ebx - 0x41f0fd39], al; ret 0x4489; 
0x00062600: add byte ptr [ebx - 0x76b3dbbc], cl; ret 0x4489; 
0x0006729a: add byte ptr [ebx - 0x76dbdbbc], cl; ret 0xe283; 
0x000e3add: add byte ptr [ebx - 0x76e7dbbc], cl; ret 0xea29; 
0x000c4d71: add byte ptr [ebx - 0x7af0e706], al; ret 0; 
0x000ced50: add byte ptr [ebx - 0x7bf0fd1b], al; ret; 
0x00069ff2: add byte ptr [ebx - 0x7bf0fe08], al; ret 2; 
0x000725b7: add byte ptr [ebx - 0x7bf0fe08], al; ret; 
0x00030fdc: add byte ptr [ebx - 0x7cc7dbac], cl; ret 0x8b01; 
0x000f8959: add byte ptr [ebx - 0x7ccfdbac], cl; ret 0x890c; 
0x000b5c71: add byte ptr [ebx - 0x7cd7dbac], cl; ret 0x8331; 
0x000b5381: add byte ptr [ebx - 0x7cd7dbac], cl; ret 0xc731; 
0x0005b907: add byte ptr [ebx - 0x7cdfdbac], cl; ret 0x8901; 
0x0002870f: add byte ptr [ebx - 0x7f], bl; ret; 
0x001359bf: add byte ptr [ebx], bh; ret; 
0x0010b476: add byte ptr [ecx + 0x21e82404], cl; ret 0xfff1; 
0x0009b223: add byte ptr [ecx + 0x24e82434], cl; ret; 
0x0008ab8f: add byte ptr [ecx + 0x28e8243c], cl; ret; 
0x000a826b: add byte ptr [ecx + 0x2ce82404], cl; ret; 
0x0010a74a: add byte ptr [ecx + 0x39082454], cl; ret 0x473; 
0x000bb0a5: add byte ptr [ecx + 0x72e82404], cl; ret; 
0x00099dd1: add byte ptr [ecx + esi*2 - 0x77], dh; ret 0xe283; 
0x000a998f: add byte ptr [ecx - 0x1717dbd4], cl; ret; 
0x0005aec3: add byte ptr [ecx - 0x2b17dbfc], cl; ret; 
0x000c8775: add byte ptr [ecx - 0x2d17dbfc], cl; ret; 
0x00108805: add byte ptr [ecx - 0x3d17dbfc], cl; ret; 
0x0005afe2: add byte ptr [ecx - 0x4a17dbfc], cl; ret 0xfffc; 
0x000b0516: add byte ptr [ecx - 0x769bdbac], cl; ret 0xb489; 
0x000f4a57: add byte ptr [ecx - 0x76e3dbbc], cl; ret 0x73e9; 
0x00062b74: add byte ptr [ecx - 0x7cff728c], cl; ret 0x8301; 
0x000641f7: add byte ptr [ecx - 0x7e06760e], cl; ret 0; 
0x0005aac6: add byte ptr [ecx - 0x7e17dbfc], cl; ret; 
0x000a8750: add byte ptr [ecx - 0x817dbfc], cl; ret; 
0x0012b0dd: add byte ptr [ecx], 0xa; ret; 
0x0005cf81: add byte ptr [ecx], ah; ret 0xf66; 
0x00033b12: add byte ptr [ecx], al; ret 0x932b; 
0x0002e3ab: add byte ptr [ecx], al; ret 0xb60f; 
0x000d8aee: add byte ptr [ecx], al; ret 0xd201; 
0x00061fa4: add byte ptr [ecx], al; ret 0xfa83; 
0x000560c7: add byte ptr [ecx], bh; ret 0x1674; 
0x000ab0b1: add byte ptr [ecx], bh; ret 0x2474; 
0x00104f1a: add byte ptr [ecx], bh; ret 0x448d; 
0x000560dd: add byte ptr [ecx], bh; ret 0x575; 
0x0003d8e8: add byte ptr [ecx], bh; ret 0x830f; 
0x00056045: add byte ptr [ecx], bh; ret 0x840f; 
0x00104eb8: add byte ptr [ecx], bh; ret 0x860f; 
0x000a1c33: add byte ptr [ecx], bh; ret 0xdf74; 
0x000f64d0: add byte ptr [ecx], bh; ret 0xef77; 
0x000f75c6: add byte ptr [ecx], bh; ret 0xf273; 
0x0002a812: add byte ptr [ecx], ch; ret 0x448b; 
0x000f9211: add byte ptr [ecx], ch; ret 0x458b; 
0x000f9080: add byte ptr [ecx], ch; ret 0x4d8b; 
0x00044d4e: add byte ptr [ecx], ch; ret 0x5489; 
0x00044dd4: add byte ptr [ecx], ch; ret 0x75e9; 
0x000f6eae: add byte ptr [ecx], ch; ret 0x84dd; 
0x000f6fef: add byte ptr [ecx], ch; ret 0xbae9; 
0x00047e83: add byte ptr [ecx], ch; ret 0xbc83; 
0x00063e7d: add byte ptr [ecx], ch; ret 0xc889; 
0x000bc48a: add byte ptr [ecx], ch; ret 0xd089; 
0x00063e54: add byte ptr [ecx], ch; ret 0xd129; 
0x00098796: add byte ptr [ecx], ch; ret 0xd285; 
0x0004cb29: add byte ptr [ecx], ch; ret 0xea83; 
0x0004cb1d: add byte ptr [ecx], ch; ret 0xfa83; 
0x000d1f62: add byte ptr [ecx], cl; ret 0x3e74; 
0x00063d0d: add byte ptr [ecx], cl; ret 0x4975; 
0x000a2196: add byte ptr [ecx], cl; ret 0x5175; 
0x00051df8: add byte ptr [ecx], cl; ret 0x5189; 
0x000a2178: add byte ptr [ecx], cl; ret 0x6f75; 
0x000a4275: add byte ptr [edi + eax - 0x7d], dh; ret 0x3901; 
0x00124f5f: add byte ptr [edi - 0x430001db], ah; ret 2; 
0x00021183: add byte ptr [edi], al; ret 2; 
0x000213e3: add byte ptr [edi], al; ret 3; 
0x000216b3: add byte ptr [edi], al; ret 4; 
0x000216bb: add byte ptr [edi], al; ret; 
0x00139887: add byte ptr [edx], ah; ret 0xfff5; 
0x00124617: add byte ptr [edx], al; ret 0xfffc; 
0x0011fac7: add byte ptr [edx], bh; ret; 
0x00124627: add byte ptr [edx], ch; ret 0xfffc; 
0x000075b7: add byte ptr [edx], dh; ret; 
0x0013d83d: add byte ptr [esi], 0xa; ret; 
0x0002035b: add byte ptr [esi], al; ret 1; 
0x000206d3: add byte ptr [esi], al; ret 8; 
0x0002064b: add byte ptr [esi], al; ret; 
0x00120307: add byte ptr [esi], bl; ret; 
0x001202ff: add byte ptr [esi], ch; ret 0xfff1; 
0x0013996b: add byte ptr [esi], dh; ret; 
0x0012461f: add byte ptr [esi], dl; ret 0xfffc; 
0x0009d42e: add byte ptr [esp + ecx*2 - 0x77], dh; ret 0xe283; 
0x00012a35: add byte ptr ds:[eax], al; ret; 
0x0004408a: add byte ptr fs:[eax], al; ret; 
0x0002bb27: add byte ptr ss:[eax], al; ret; 
0x0012222f: add ch, ah; ret 0xfff6; 
0x000c9236: add ch, bl; ret 0x66aa; 
0x0014763b: add ch, byte ptr [eax + 0x41100e0a]; ret; 
0x00132539: add ch, byte ptr [ebx + 0xa]; ret; 
0x00128a05: add ch, byte ptr [ecx + 0xa]; ret; 
0x000753fe: add ch, byte ptr [ecx]; ret 0x5489; 
0x0014b25f: add ch, byte ptr [edi + 0x41100e0a]; ret; 
0x0012c839: add ch, byte ptr [edi + 0xa]; ret; 
0x00131414: add ch, byte ptr [edx + 0x41100e0a]; ret; 
0x001344d4: add ch, byte ptr [esi + 0xa]; ret; 
0x00122237: add ch, cl; ret; 
0x0005cc25: add cl, bl; ret 0xe1d9; 
0x00146e05: add cl, byte ptr [eax + 0xa]; ret; 
0x0002aab8: add cl, byte ptr [ebx + 0x290c2454]; ret 0x448b; 
0x00067ecb: add cl, byte ptr [ebx + 0x29102454]; ret 0x5489; 
0x00130cb7: add cl, byte ptr [ebx + 0x41100e0a]; ret; 
0x0008fcae: add cl, byte ptr [ebx + eax*4]; ret 0xe901; 
0x0005c666: add cl, byte ptr [ecx + 0x1eed3c1]; ret 0xf089; 
0x001313dc: add cl, byte ptr [ecx + 0x41100e0a]; ret; 
0x00130015: add cl, byte ptr [ecx + 0xa]; ret; 
0x00067381: add cl, byte ptr [ecx]; ret 0xd189; 
0x0013ed6f: add cl, byte ptr [edx + 0x41100e0a]; ret; 
0x00126ff6: add cl, byte ptr [edx]; ret; 
0x000996ef: add cl, ch; ret 0xfff2; 
0x000b07cd: add cl, ch; ret 0xfff3; 
0x0008116b: add cl, ch; ret 0xfffb; 
0x00030aab: add cl, ch; ret 0xfffc; 
0x0004537b: add cl, ch; ret 0xfffd; 
0x000385f5: add cl, ch; ret 0xfffe; 
0x000af01c: add cl, ch; ret; 
0x00022fc7: add cl, cl; ret; 
0x000ccb8a: add dh, byte ptr [eax + ebx - 0x7d]; ret 0x8301; 
0x0003e683: add dh, byte ptr [ebp + 0x19]; ret; 
0x00141229: add dh, byte ptr [ebp + 0xa]; ret; 
0x001271ac: add dh, byte ptr [ebx + 0xa]; ret; 
0x00125999: add dh, byte ptr [ecx + 0xa]; ret; 
0x0013c130: add dh, byte ptr [edi + 0x41100e0a]; ret; 
0x0012f255: add dh, byte ptr [edi + 0xa]; ret; 
0x00129491: add dh, byte ptr [edx + 0xa]; ret; 
0x0012f3ec: add dh, byte ptr [edx + ecx - 0x3b]; ret; 
0x0013efcb: add dh, ch; ret 0xfff7; 
0x000f8861: add dh, dh; ret 0x7501; 
0x00051a6d: add dh, dh; ret 0xf01; 
0x000cfaf7: add dh, dh; ret 0xf02; 
0x00057a90: add dh, dh; ret 0xf10; 
0x00010fa7: add dh, dh; ret; 
0x00138087: add dl, byte ptr [eax + 0x41100e0a]; ret; 
0x0014bcf4: add dl, byte ptr [eax + 0xa]; ret; 
0x00140afe: add dl, byte ptr [ebx + 0x41100e0a]; ret; 
0x0013df20: add dl, byte ptr [ebx + 0xa]; ret; 
0x0014771e: add dl, byte ptr [ecx + 0xa]; ret; 
0x0014c983: add dl, byte ptr [edi + 0x41100e0a]; ret; 
0x00135100: add dl, byte ptr [edi + 0xa]; ret; 
0x0013653d: add dl, byte ptr [edx + 0x41080e0a]; ret; 
0x0011fabf: add dl, dh; ret 0xfff0; 
0x00055330: add dword ptr [eax + eax*8 - 0x3fce1e8b], eax; ret; 
0x000c33a1: add dword ptr [eax + eax], -0x7f; ret; 
0x0007fed8: add dword ptr [eax], 0x3d8d0000; ret 0x8b; 
0x00137e1e: add dword ptr [eax], eax; ret 0xf54e; 
0x00121ab6: add dword ptr [eax], eax; ret 0xf56b; 
0x0013b62e: add dword ptr [eax], eax; ret 0xf63d; 
0x0012262e: add dword ptr [eax], eax; ret 0xf75c; 
0x00122ebe: add dword ptr [eax], eax; ret 0xf8ab; 
0x001446ba: add dword ptr [eax], eax; ret 0xf96f; 
0x001233e6: add dword ptr [eax], eax; ret 0xf9e0; 
0x0012165e: add dword ptr [eax], eax; ret; 
0x000b424f: add dword ptr [ebp + eax - 0x7d], esi; ret 0xdc01; 
0x000e2405: add dword ptr [ebp + edi*2 - 0x18], esi; ret; 
0x0003e715: add dword ptr [ebp - 0x1b], esi; ret; 
0x0003e6ba: add dword ptr [ebp - 0x1e], esi; ret; 
0x0005fe8a: add dword ptr [ebx + 0x10c2454], ecx; ret 0xfa81; 
0x0004ef16: add dword ptr [ebx - 0x7cdfdbac], ecx; ret 0x8304; 
0x000ea0f4: add dword ptr [ebx - 0x7d], esi; ret 0x8301; 
0x00102550: add dword ptr [ebx - 0x7df0fd08], eax; ret; 
0x0012eb19: add dword ptr [ebx], 0x5f; ret; 
0x00126f06: add dword ptr [ebx], 0x61; ret; 
0x00139d2a: add dword ptr [ebx], 0x62; ret; 
0x0013bdb2: add dword ptr [ebx], 0x65; ret; 
0x00127c0a: add dword ptr [ebx], 0x6a; ret; 
0x0013bd8e: add dword ptr [ebx], 0x6c; ret; 
0x00135d8d: add dword ptr [ebx], 0x70; ret; 
0x0014afda: add dword ptr [ebx], 0x77; ret; 
0x000b4d6b: add dword ptr [ecx + 0x395c2444], ecx; ret 0x8e0f; 
0x00089b74: add dword ptr [ecx + 0x63e82404], ecx; ret 0xfff9; 
0x0002d360: add dword ptr [ecx + ecx - 0x7d], esi; ret 0x8b04; 
0x00082786: add dword ptr [ecx - 0x77], esi; ret 0xca0f; 
0x000a9516: add dword ptr [ecx - 0x7c172efe], ecx; ret 0x8b04; 
0x000590a1: add dword ptr [ecx - 0x7cd3dbb4], ecx; ret 0x3901; 
0x000be89e: add dword ptr [ecx], 0x838d0000; ret 0xfc6f; 
0x000e9525: add dword ptr [ecx], ecx; ret 0x543b; 
0x0003bd02: add dword ptr [ecx], edi; ret 0x1373; 
0x000597fb: add dword ptr [ecx], edi; ret 0x2374; 
0x00059d97: add dword ptr [ecx], edi; ret 0x6d74; 
0x000a6f6a: add dword ptr [ecx], edi; ret 0x8d0f; 
0x0003bd15: add dword ptr [ecx], edi; ret 0xed72; 
0x00059877: add dword ptr [ecx], edi; ret 0xf472; 
0x000323ac: add dword ptr [ecx], edi; ret 0xf675; 
0x000f8215: add dword ptr [ecx], edi; ret 0xf77f; 
0x00082410: add dword ptr [edi + edx - 0x77], esi; ret 0xca0f; 
0x0012bf62: add dword ptr [edx + eax], 0x79; ret; 
0x000483a9: add dword ptr [edx + ebp - 0x77], esi; ret 0xeac1; 
0x0002cd6e: add dword ptr [edx + ebp*8 - 0x7d], esi; ret 0xc704; 
0x0012e246: add dword ptr [edx + edi*2], 0xa; ret; 
0x0004ea17: add dword ptr [edx + esi*4 - 0x77], esi; ret 0x748d; 
0x00082405: add dword ptr [edx - 0x77], esi; ret 0xca0f; 
0x00131a98: add dword ptr [edx], 0x51; ret; 
0x00137420: add dword ptr [edx], 0x59; ret; 
0x00125c70: add dword ptr [edx], 0x5e; ret; 
0x0013214c: add dword ptr [edx], 0x61; ret; 
